applicant_id,age,employment_type,years_employed,annual_income_lakhs,monthly_income_lakhs,dependents,state,property_area,cibil_score,credit_history_years,no_of_existing_loans,existing_emi_lakhs,previous_defaults,bankruptcies,loan_type,loan_purpose,loan_amount_lakhs,tenure_months,interest_rate_pct,ltv_ratio,collateral_value_lakhs,priority_sector,emi_lakhs,foir,loan_to_income_ratio,age_at_loan_maturity,loan_approved,sanctioned_amount_lakhs,internal_score
APP000001,42,Salaried,15,15.35,1.2792,3,Tamil Nadu,Urban,781,5,2,0.0814,0,0,Business Loan,Working Capital,92.52,69,14.2,57.28,169.91,1,1.9695,1.6033,6.0274,47,0,0.0,8
APP000002,42,Self-Employed Professional,6,32.74,2.7283,0,Tamil Nadu,Semi-Urban,725,1,2,0.5657,0,0,Vehicle Loan,Used Car Purchase,3.28,62,12.05,60.27,5.2,0,0.0713,0.2335,0.1002,47,1,3.25,85
APP000003,21,Salaried,6,28.78,2.3983,4,Telangana,Urban,627,9,1,0.3569,0,0,Education Loan,Domestic Education,6.63,15,9.29,98.18,0.0,1,0.4699,0.3447,0.2304,22,1,6.41,46
APP000004,31,Government,4,13.19,1.0992,2,Telangana,Semi-Urban,683,11,2,0.1081,0,0,Education Loan,Domestic Education,16.51,52,10.07,49.92,0.0,1,0.3931,0.456,1.2517,35,1,14.07,80
APP000005,21,Self-Employed Business,9,13.0,1.0833,2,Telangana,Urban,767,3,2,0.1406,0,0,Personal Loan,Marriage,26.92,48,20.35,78.25,0.0,0,0.8242,0.8906,2.0708,25,0,0.0,20
APP000006,36,PSU,15,21.0,1.75,2,Uttar Pradesh,Urban,717,13,1,0.3202,1,0,Education Loan,Abroad Education,13.11,53,11.08,52.1,0.0,1,0.3139,0.3623,0.6243,40,1,12.91,72
APP000007,61,Government,16,21.1,1.7583,1,West Bengal,Urban,785,8,3,0.1819,0,0,Gold Loan,Personal Need,5.36,14,9.27,71.24,8.57,1,0.4054,0.334,0.254,62,1,5.21,93
APP000008,46,PSU,6,30.25,2.5208,0,West Bengal,Urban,507,8,0,0.0,0,0,Vehicle Loan,Two Wheeler,6.87,55,9.39,47.57,14.83,0,0.1542,0.0612,0.2271,50,0,0.0,55
APP000009,21,Self-Employed Professional,4,26.86,2.2383,4,Maharashtra,Semi-Urban,756,6,0,0.0,1,0,Personal Loan,Medical Emergency,14.13,12,13.73,48.69,0.0,0,1.2669,0.566,0.5261,22,0,0.0,33
APP000010,41,Government,11,9.39,0.7825,1,Uttar Pradesh,Semi-Urban,655,12,1,0.1732,0,0,Business Loan,Working Capital,317.13,22,16.53,71.93,442.1,0,16.8077,21.7008,33.7732,42,0,0.0,-49
